Country/Region,Continent,Population,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region
Saint Lucia,North America,183712.0,25,3792.590425531915,24.0,1.0,29.200142513583323,136.0,26.96968222941251,3895.0,21202.0,Americas
Timor-Leste,Asia,1320812.0,25,3792.590425531915,24.0,1.0,29.200142513583323,19.0,26.96968222941251,4238.0,3209.0,South-EastAsia
Grenada,North America,112576.0,24,3792.590425531915,23.0,1.0,29.200142513583323,213.0,26.96968222941251,6252.0,55536.0,Americas
New Caledonia,Australia/Oceania,285769.0,22,3792.590425531915,22.0,0.0,29.200142513583323,77.0,26.96968222941251,11099.0,38839.0,Europe
Laos,Asia,7285750.0,20,3792.590425531915,19.0,1.0,29.200142513583323,3.0,26.96968222941251,29374.0,4032.0,WesternPacific
Dominica,North America,72004.0,18,3792.590425531915,18.0,0.0,29.200142513583323,250.0,26.96968222941251,1005.0,13958.0,Americas
Saint Kitts and Nevis,North America,53237.0,17,3792.590425531915,16.0,1.0,29.200142513583323,319.0,26.96968222941251,1146.0,21526.0,Americas
Greenland,North America,56780.0,14,3792.590425531915,14.0,0.0,29.200142513583323,247.0,26.96968222941251,5977.0,32003.329056477993,Europe
Montserrat,North America,4992.0,13,1.0,10.0,2.0,29.200142513583323,2604.0,29.07209714306458,61.0,12220.0,Europe
Caribbean Netherlands,North America,26247.0,13,3792.590425531915,7.0,6.0,29.200142513583323,495.0,26.96968222941251,424.0,16154.0,Europe
Falkland Islands,South America,3489.0,13,3792.590425531915,13.0,0.0,29.200142513583323,3726.0,26.96968222941251,1816.0,48010.90395480226,Europe
Vatican City,Europe,801.0,12,3792.590425531915,12.0,0.0,29.200142513583323,1932.3507853403141,26.96968222941251,131234.44575338412,33044.1951465764,Europe
Western Sahara,Africa,598682.0,10,1.0,8.0,1.0,29.200142513583323,17.0,2.0,131234.44575338412,33044.1951465764,Africa
